"isono","year","sexno","ageno","eduno","ydr"
4,1970,0,0,0,0.83
4,1975,0,0,0,0.85
4,1980,0,0,0,0.87
4,1985,0,0,0,0.89
4,1990,0,0,0,0.92
4,1995,0,0,0,0.94
4,2000,0,0,0,0.97
4,2005,0,0,0,0.95
4,2010,0,0,0,0.91
4,2015,0,0,0,0.86
4,2020,0,0,0,0.82
4,2025,0,0,0,0.79
4,2030,0,0,0,0.75
4,2035,0,0,0,0.7
4,2040,0,0,0,0.64
4,2045,0,0,0,0.58
4,2050,0,0,0,0.53
4,2055,0,0,0,0.48
4,2060,0,0,0,0.45
4,2065,0,0,0,0.41
4,2070,0,0,0,0.38
4,2075,0,0,0,0.35
4,2080,0,0,0,0.33
4,2085,0,0,0,0.31
4,2090,0,0,0,0.3
4,2095,0,0,0,0.28
4,2100,0,0,0,0.27
8,1970,0,0,0,0.8
8,1975,0,0,0,0.72
8,1980,0,0,0,0.61
8,1985,0,0,0,0.57
8,1990,0,0,0,0.53
8,1995,0,0,0,0.53
8,2000,0,0,0,0.48
8,2005,0,0,0,0.4
8,2010,0,0,0,0.34
8,2015,0,0,0,0.28
8,2020,0,0,0,0.25
8,2025,0,0,0,0.24
8,2030,0,0,0,0.24
8,2035,0,0,0,0.22
8,2040,0,0,0,0.21
8,2045,0,0,0,0.19
8,2050,0,0,0,0.19
8,2055,0,0,0,0.2
8,2060,0,0,0,0.2
8,2065,0,0,0,0.2
8,2070,0,0,0,0.2
8,2075,0,0,0,0.2
8,2080,0,0,0,0.2
8,2085,0,0,0,0.2
8,2090,0,0,0,0.21
8,2095,0,0,0,0.21
8,2100,0,0,0,0.21
12,1970,0,0,0,1.02
12,1975,0,0,0,0.99
12,1980,0,0,0,0.91
12,1985,0,0,0,0.87
12,1990,0,0,0,0.81
12,1995,0,0,0,0.7
12,2000,0,0,0,0.56
12,2005,0,0,0,0.45
12,2010,0,0,0,0.4
12,2015,0,0,0,0.39
12,2020,0,0,0,0.37
12,2025,0,0,0,0.35
12,2030,0,0,0,0.32
12,2035,0,0,0,0.29
12,2040,0,0,0,0.27
12,2045,0,0,0,0.27
12,2050,0,0,0,0.28
12,2055,0,0,0,0.28
12,2060,0,0,0,0.27
12,2065,0,0,0,0.25
12,2070,0,0,0,0.24
12,2075,0,0,0,0.24
12,2080,0,0,0,0.24
12,2085,0,0,0,0.24
12,2090,0,0,0,0.23
12,2095,0,0,0,0.23
12,2100,0,0,0,0.23
24,1970,0,0,0,0.9
24,1975,0,0,0,0.9
24,1980,0,0,0,0.91
24,1985,0,0,0,0.93
24,1990,0,0,0,0.95
24,1995,0,0,0,0.96
24,2000,0,0,0,0.96
24,2005,0,0,0,0.95
24,2010,0,0,0,0.91
24,2015,0,0,0,0.85
24,2020,0,0,0,0.77
24,2025,0,0,0,0.72
24,2030,0,0,0,0.66
24,2035,0,0,0,0.59
24,2040,0,0,0,0.53
24,2045,0,0,0,0.48
24,2050,0,0,0,0.44
24,2055,0,0,0,0.41
24,2060,0,0,0,0.38
24,2065,0,0,0,0.35
24,2070,0,0,0,0.33
24,2075,0,0,0,0.31
24,2080,0,0,0,0.3
24,2085,0,0,0,0.29
24,2090,0,0,0,0.28
24,2095,0,0,0,0.27
24,2100,0,0,0,0.26
31,1970,0,0,0,0.88
31,1975,0,0,0,0.74
31,1980,0,0,0,0.58
31,1985,0,0,0,0.53
31,1990,0,0,0,0.56
31,1995,0,0,0,0.56
31,2000,0,0,0,0.49
31,2005,0,0,0,0.36
31,2010,0,0,0,0.29
31,2015,0,0,0,0.33
31,2020,0,0,0,0.37
31,2025,0,0,0,0.35
31,2030,0,0,0,0.28
31,2035,0,0,0,0.24
31,2040,0,0,0,0.23
31,2045,0,0,0,0.24
31,2050,0,0,0,0.25
31,2055,0,0,0,0.24
31,2060,0,0,0,0.23
31,2065,0,0,0,0.22
31,2070,0,0,0,0.22
31,2075,0,0,0,0.23
31,2080,0,0,0,0.24
31,2085,0,0,0,0.24
31,2090,0,0,0,0.23
31,2095,0,0,0,0.23
31,2100,0,0,0,0.23
32,1970,0,0,0,0.46
32,1975,0,0,0,0.46
32,1980,0,0,0,0.5
32,1985,0,0,0,0.51
32,1990,0,0,0,0.51
32,1995,0,0,0,0.47
32,2000,0,0,0,0.45
32,2005,0,0,0,0.41
32,2010,0,0,0,0.39
32,2015,0,0,0,0.37
32,2020,0,0,0,0.35
32,2025,0,0,0,0.33
32,2030,0,0,0,0.32
32,2035,0,0,0,0.3
32,2040,0,0,0,0.29
32,2045,0,0,0,0.29
32,2050,0,0,0,0.28
32,2055,0,0,0,0.27
32,2060,0,0,0,0.26
32,2065,0,0,0,0.25
32,2070,0,0,0,0.25
32,2075,0,0,0,0.24
32,2080,0,0,0,0.24
32,2085,0,0,0,0.23
32,2090,0,0,0,0.23
32,2095,0,0,0,0.23
32,2100,0,0,0,0.23
36,1970,0,0,0,0.46
36,1975,0,0,0,0.43
36,1980,0,0,0,0.39
36,1985,0,0,0,0.36
36,1990,0,0,0,0.33
36,1995,0,0,0,0.32
36,2000,0,0,0,0.31
36,2005,0,0,0,0.29
36,2010,0,0,0,0.28
36,2015,0,0,0,0.28
36,2020,0,0,0,0.28
36,2025,0,0,0,0.28
36,2030,0,0,0,0.28
36,2035,0,0,0,0.27
36,2040,0,0,0,0.27
36,2045,0,0,0,0.26
36,2050,0,0,0,0.26
36,2055,0,0,0,0.26
36,2060,0,0,0,0.26
36,2065,0,0,0,0.26
36,2070,0,0,0,0.26
