"isono","year","sexno","ageno","eduno","ggapmys15"
4,1970,0,0,0,0
4,1975,0,0,0,0
4,1980,0,0,0,0
4,1985,0,0,0,0
4,1990,0,0,0,0
4,1995,0,0,0,0
4,2000,0,0,0,0
4,2005,0,0,0,0
4,2010,0,0,0,0
4,2015,0,0,0,0
4,2020,0,0,0,0
4,2025,0,0,0,0
4,2030,0,0,0,0
4,2035,0,0,0,0
4,2040,0,0,0,0
4,2045,0,0,0,0
4,2050,0,0,0,0
4,2055,0,0,0,0
4,2060,0,0,0,0
4,2065,0,0,0,0
4,2070,0,0,0,0
4,2075,0,0,0,0
4,2080,0,0,0,0
4,2085,0,0,0,0
4,2090,0,0,0,0
4,2095,0,0,0,0
4,2100,0,0,0,0
8,1970,0,0,0,2.23
8,1975,0,0,0,1.96
8,1980,0,0,0,1.81
8,1985,0,0,0,1.47
8,1990,0,0,0,1.28
8,1995,0,0,0,1.12
8,2000,0,0,0,0.86
8,2005,0,0,0,0.64
8,2010,0,0,0,0.41
8,2015,0,0,0,0.25
8,2020,0,0,0,0.12
8,2025,0,0,0,0.01
8,2030,0,0,0,-0.09
8,2035,0,0,0,-0.17
8,2040,0,0,0,-0.24
8,2045,0,0,0,-0.29
8,2050,0,0,0,-0.31
8,2055,0,0,0,-0.32
8,2060,0,0,0,-0.31
8,2065,0,0,0,-0.31
8,2070,0,0,0,-0.29
8,2075,0,0,0,-0.26
8,2080,0,0,0,-0.23
8,2085,0,0,0,-0.2
8,2090,0,0,0,-0.17
8,2095,0,0,0,-0.15
8,2100,0,0,0,-0.13
12,1970,0,0,0,1.65
12,1975,0,0,0,1.97
12,1980,0,0,0,2.12
12,1985,0,0,0,2.32
12,1990,0,0,0,2.35
12,1995,0,0,0,2.14
12,2000,0,0,0,1.92
12,2005,0,0,0,1.62
12,2010,0,0,0,1.38
12,2015,0,0,0,1.45
12,2020,0,0,0,1.35
12,2025,0,0,0,1.25
12,2030,0,0,0,1.16
12,2035,0,0,0,1.08
12,2040,0,0,0,1.01
12,2045,0,0,0,0.95
12,2050,0,0,0,0.89
12,2055,0,0,0,0.86
12,2060,0,0,0,0.85
12,2065,0,0,0,0.85
12,2070,0,0,0,0.87
12,2075,0,0,0,0.9
12,2080,0,0,0,0.93
12,2085,0,0,0,0.97
12,2090,0,0,0,1
12,2095,0,0,0,1.03
12,2100,0,0,0,1.05
24,1970,0,0,0,0
24,1975,0,0,0,0
24,1980,0,0,0,0
24,1985,0,0,0,0
24,1990,0,0,0,0
24,1995,0,0,0,0
24,2000,0,0,0,0
24,2005,0,0,0,0
24,2010,0,0,0,0
24,2015,0,0,0,0
24,2020,0,0,0,0
24,2025,0,0,0,0
24,2030,0,0,0,0
24,2035,0,0,0,0
24,2040,0,0,0,0
24,2045,0,0,0,0
24,2050,0,0,0,0
24,2055,0,0,0,0
24,2060,0,0,0,0
24,2065,0,0,0,0
24,2070,0,0,0,0
24,2075,0,0,0,0
24,2080,0,0,0,0
24,2085,0,0,0,0
24,2090,0,0,0,0
